단지코드,등록차량수,총세대수,지역,주거율,지하철역수,버스정류장수,단지내주차면수,총임대가구수,면적_15,면적_20,면적_30,면적_40,면적_50,면적_60,면적_70,면적_80,면적_100,임대비율,가구당주차면수,임대건물구분,공급유형_공공임대(10년),공급유형_공공임대(50년),공급유형_공공임대(분납),공급유형_국민임대,공급유형_영구임대,공급유형_임대상가,공급유형_행복주택,자격유형_A,자격유형_C,자격유형_D,자격유형_E,자격유형_FMO,자격유형_G,자격유형_HI,자격유형_J,자격유형_K,자격유형_L,자격유형_N,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자),임대보증금,임대료
C2515,205.0,545.0,2,0.9688073394495413,0.0,3.0,624.0,545.0,0.0,0.0,0.653211009174312,0.10458715596330276,0.24220183486238533,0.0,0.0,0.0,0.0,1.0,1.144954128440367,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027400398406374503,0.026902390438247013,0.05325697211155379,0.055567729083665335,0.0649203187250996,0.07061752988047809,0.05641434262948208,0.05754980079681275,0.07709163346613546,0.06759960159362549,0.08687250996015937,0.07256972111553785,0.0872011952191235,0.06956175298804781,0.04835657370517928,0.033276892430278884,0.027360557768924303,0.011294820717131476,0.004910358565737053,0.0010856573705179283,0.00017928286852589642,9.9601593625498e-06,18433000.0,149760.0
C1407,1064.0,1216.0,6,0.9893092105263158,1.0,1.0,1285.0,1216.0,0.0,0.0,0.3207236842105263,0.5773026315789473,0.10197368421052631,0.0,0.0,0.0,0.0,1.0,1.0567434210526316,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02819701462865095,0.029091632014048806,0.040489720183562235,0.042792531601530785,0.06083398220705422,0.06424678186246087,0.06865360083497622,0.06684779907556203,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.08846771922267689,0.07026059873096868,0.05100975795629628,0.03714318848262951,0.032454730703600006,0.013750600553337421,0.006494259538443697,0.001739533804940276,0.0002982057951326187,6.626795447391528e-05,27637000.0,164610.0
C1470,553.0,696.0,11,0.9798850574712644,0.0,2.0,645.0,696.0,0.0,0.0,0.3649425287356322,0.28160919540229884,0.35344827586206895,0.0,0.0,0.0,0.0,1.0,0.9267241379310345,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028089369274368944,0.029064786133263038,0.059684966717195025,0.06008040598431425,0.06626243986027812,0.07032228300270217,0.052026626243986025,0.046595926975548665,0.07700520661701707,0.06664469781849337,0.08140776379094444,0.07438212614512621,0.07663612996770579,0.06804191656231462,0.051024846767283985,0.03574770974757793,0.0350491003756673,0.012640875238911223,0.0072233572793778435,0.00189810848217228,0.00015817570684768998,1.3181308903974165e-05,16821500.0,117145.0
C1898,415.0,566.0,11,0.9840989399293286,0.0,6.0,517.0,566.0,0.0,0.0,0.4787985865724382,0.36925795053003535,0.1519434628975265,0.0,0.0,0.0,0.0,1.0,0.9134275618374559,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028089369274368944,0.029064786133263038,0.059684966717195025,0.06008040598431425,0.06626243986027812,0.07032228300270217,0.052026626243986025,0.046595926975548665,0.07700520661701707,0.06664469781849337,0.08140776379094444,0.07438212614512621,0.07663612996770579,0.06804191656231462,0.051024846767283985,0.03574770974757793,0.0350491003756673,0.012640875238911223,0.0072233572793778435,0.00189810848217228,0.00015817570684768998,1.3181308903974165e-05,16821500.0,117145.0
C1244,1804.0,1722.0,1,0.9941927990708479,0.0,10.0,1483.0,1722.0,0.0,0.0,0.45760743321718933,0.3159117305458769,0.2264808362369338,0.0,0.0,0.0,0.0,1.0,0.8612078977932637,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802955103120111,0.03950723221241278,0.052545824319262094,0.053989803999849637,0.05848376948692058,0.059894047666884,0.07233119760874891,0.06870439765696798,0.0832077088294043,0.07835469273953018,0.07734494393236886,0.06485853795113024,0.07423662860557449,0.05841895890879726,0.04242241201639967,0.032725453317588686,0.025136134619348032,0.012354192401867064,0.005389647676735206,0.0017071106277682221,0.00029035138999246904,6.740300124825175e-05,43990000.0,304540.0
C1171,700.0,624.0,6,0.9791666666666666,0.0,5.0,634.0,624.0,0.0,0.0,0.5673076923076923,0.3685897435897436,0.0641025641025641,0.0,0.0,0.0,0.0,1.0,1.016025641025641,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02819701462865095,0.029091632014048806,0.040489720183562235,0.042792531601530785,0.06083398220705422,0.06424678186246087,0.06865360083497622,0.06684779907556203,0.07466741770348402,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.08846771922267689,0.07026059873096868,0.05100975795629628,0.03714318848262951,0.032454730703600006,0.013750600553337421,0.006494259538443697,0.001739533804940276,0.0002982057951326187,6.626795447391528e-05,35462000.0,189130.0
C2073,301.0,361.0,0,0.96398891966759,0.0,5.0,288.0,361.0,0.0,0.0,0.46537396121883656,0.42382271468144045,0.11080332409972299,0.0,0.0,0.0,0.0,1.0,0.7977839335180056,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028887584877190037,0.03068153240003353,0.05128678011568447,0.052711878615139575,0.06037387878279823,0.06315701232291056,0.05982060524771565,0.054321401626288866,0.07620085505909968,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.08842317042501467,0.07001425098499454,0.04773241679939643,0.032760499622768044,0.03351496353424428,0.013027076871489645,0.007628468438259703,0.0016765864699471876,0.00031855142928996564,1.6765864699471876e-05,16821000.0,205460.0
C2513,820.0,754.0,4,0.980106100795756,0.0,6.0,530.0,754.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7029177718832891,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03199364414795011,0.034566250930047795,0.04985056181192227,0.05025410797381994,0.06508442942355952,0.06687516551698047,0.06688777633453978,0.06441605609291651,0.08002824823133284,0.07918332345485958,0.07990214005573981,0.06744265230714908,0.07592973252455956,0.0595861129677037,0.048551647603314124,0.03175403861432337,0.029748918622394288,0.010340870398627943,0.006343241232329092,0.0008953680467104682,0.0003531028916604663,1.261081755930237e-05,32443000.0,192250.0
C1936,234.0,240.0,4,0.9666666666666667,0.0,10.0,168.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03199364414795011,0.034566250930047795,0.04985056181192227,0.05025410797381994,0.06508442942355952,0.06687516551698047,0.06688777633453978,0.06441605609291651,0.08002824823133284,0.07918332345485958,0.07990214005573981,0.06744265230714908,0.07592973252455956,0.0595861129677037,0.048551647603314124,0.03175403861432337,0.029748918622394288,0.010340870398627943,0.006343241232329092,0.0008953680467104682,0.0003531028916604663,1.261081755930237e-05,32443000.0,192250.0
C2049,841.0,688.0,0,1.0,0.0,5.0,631.0,688.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9171511627906976,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028887584877190037,0.03068153240003353,0.05128678011568447,0.052711878615139575,0.06037387878279823,0.06315701232291056,0.05982060524771565,0.054321401626288866,0.07620085505909968,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.08842317042501467,0.07001425098499454,0.04773241679939643,0.032760499622768044,0.03351496353424428,0.013027076871489645,0.007628468438259703,0.0016765864699471876,0.00031855142928996564,1.6765864699471876e-05,15407000.0,88400.0
