code,num
C1072,640.8672360462348
C1128,1216.361538001521
C1456,408.5138086896947
C1840,481.14514133471147
C1332,1069.365760274472
C1563,1727.2533765370226
C1794,788.2504630641026
C1640,375.97080650651174
C1377,317.18052827842905
C2072,250.3437385569469
C1472,404.28131721588727
C1006,241.81430667005552
C1083,318.45812067184346
C1311,287.941901257579
C2676,244.470321310954
C2318,218.10617043103082
C1603,359.6893882221171
C2523,273.0181679438195
C2177,209.90140642725416
C2411,734.3543646125875
C2033,300.1839961680823
C1604,400.8532492329798
C2535,415.3629974662142
C1040,424.3587010159052
C2417,352.80815775448895
C1812,186.50351623074772
C2253,152.97210885471588
C1294,533.5719359051396
C1772,451.0356803027763
C2646,410.84034350470984
C1152,826.235628066485
C2423,140.1251324903224
C1844,389.5029053111979
C1318,204.07182895823925
C1729,87.73989078641691
C1602,279.9296911621192
C1239,352.3208191889683
C1721,472.7312301872258
C1902,747.3039196634357
C1855,306.1349915241805
C2600,380.5021587002715
C1071,403.37942704605996
C2295,389.18587421935
C1621,385.00197138433987
C1852,735.6889756372151
C2555,1163.1298188389767
C1297,402.20168545065724
C2323,497.8837577223555
C2215,360.94033797592544
C2112,342.09503126168386
C1830,757.1776238207957
C2602,259.68115666966935
C2608,918.0486292706806
C1215,592.6844316951522
C2369,487.85623921438275
C1158,239.68180297605738
C1887,515.191866482079
C1189,289.85290131938694
C1637,372.90519705051184
C1225,148.95044644161487
C2374,349.52285393493355
C2397,442.8576208959371
C1105,877.6169102749632
C1782,404.8674659355652
C1629,131.69526392507836
C1708,247.90037683888778
C2144,495.09301944811574
C1617,928.4773182627672
C1149,488.5215470196454
C1323,364.8465817922375
C1064,726.5263648000088
C1019,261.1890154219181
C2269,524.448876343017
C1416,729.0243065430883
C1250,821.2769844351017
C1741,355.7161131767314
C1016,634.0803535709077
C2675,842.6453252821854
C2436,603.8322530232731
C2039,819.5530511537858
C1253,752.4670967816493
C2028,1074.4294835572616
C1166,265.7175185918682
C1135,229.27783283920394
C1216,245.26212916745285
C1593,228.95557075674787
C1826,224.4225388252114
C1827,366.568838036576
C1564,260.7540391380429
C1495,918.4577577154623
C2653,813.7444481401678
C1392,627.568408565559
C2128,259.39918990836736
C1282,549.9342031916128
C1521,1000.8759321235382
C2076,958.8472381003379
C1060,509.48513347782796
C2473,1067.6030323115535
C2557,651.3232571728735
C1835,773.6725499569516
C2224,678.0362858460593
C2222,388.12305281299217
C2430,662.2509475098981
C2497,490.92857234859355
C1494,824.621168778326
C1457,560.5270277668965
C1525,1196.7371779029643
C1712,599.54546519614
C2267,852.0557921884838
C1623,256.20760944099004
C2131,394.0922385110597
C2691,892.8407416758379
C1147,815.1539273659666
C1692,987.5323507497712
C1570,701.1300429377574
C1474,102.85771312328818
C1633,149.37046346317572
C2113,602.018743511413
C2175,692.6803060568503
C2303,1296.9770421573405
C2547,491.2672552148494
C2292,758.4253953328414
C1496,587.3403482107072
C1289,376.29982244314897
C1849,739.9106601852328
C1003,236.5200470976369
C2268,450.4811018542778
C2551,559.3418068509047
C2688,85.43430765635397
C1030,56.47658665375936
C1327,70.47347758970024
C2451,387.64763766376575
C1749,553.2168218355354
C1349,237.4636344910932
C2043,206.99862131612554
C1229,223.31341773117458
C2363,426.6547722817109
C1414,435.7256316373797
C2174,475.78616710526245
C2091,92.48619403566268
C2335,511.82526708677193
C1841,55.05042705906156
C2404,100.69779926102096
C1683,195.2388663941689
C1038,356.3855937868321
C2456,232.62630248110707
C1266,437.99075191451175
C2152,56.740781076880126
C1267,366.24089957402356
C2189,195.9846941557184
